# seed=1337 config_hash=5fa4d5543ecd68be54445db2d80192b6b9de48a99484383e55fdfe1bbe91521a
episode,epsilon,alpha,mean_reward,winrate_vs_baseline,fallback_rate,role
16000,0.9493396666666667,0.14306753333333333,0.012740000000000034,0.07103825136612021,0.3109968485652679,thief
16999,0.946173,0.1426342,-0.10680000000000019,0.0,0.15174804969661948,cop
17000,0.946173,0.1426342,-0.0015200000000000083,0.05970149253731343,0.2592463363572924,thief
17999,0.9430063333333334,0.14220086666666665,-0.10428000000000012,0.01,0.13154851393546896,cop
18000,0.9430063333333334,0.14220086666666665,-0.002780000000000011,0.06321839080459771,0.27765314926660917,thief
18999,0.9398396666666666,0.14176753333333333,-0.08764,0.010256410256410256,0.15038642570747865,cop
19000,0.9398396666666666,0.14176753333333333,-0.011319999999999983,0.07329842931937172,0.24804131054131054,thief
19999,0.936673,0.1413342,-0.08382,0.0,0.1363927179666143,cop
20000,0.936673,0.1413342,-0.0024600000000000043,0.07106598984771574,0.25990655822806713,thief
20999,0.9335063333333333,0.14090086666666665,0.08432000000000002,0.01092896174863388,0.1561457360202856,cop
21000,0.9335063333333333,0.14090086666666665,0.048220000000000054,0.07894736842105263,0.3554572271386431,thief
21999,0.9303396666666667,0.14046753333333334,0.02160000000000004,0.006369426751592357,0.1524511374559436,cop
22000,0.9303396666666667,0.14046753333333334,0.01353999999999999,0.06914893617021277,0.30867388144080116,thief
22999,0.927173,0.1400342,0.07718,0.005747126436781609,0.15815409202903377,cop
23000,0.927173,0.1400342,0.0018600000000000034,0.031746031746031744,0.3045484508899143,thief
23999,0.9240063333333334,0.13960086666666666,0.05448000000000002,0.00510204081632653,0.12416283650689429,cop
24000,0.9240063333333334,0.13960086666666666,0.016120000000000037,0.06091370558375635,0.27697549894531887,thief
24999,0.9208396666666667,0.13916753333333332,0.05078000000000001,0.00546448087431694,0.13804779579344925,cop
25000,0.9208396666666667,0.13916753333333332,0.0015399999999999802,0.02631578947368421,0.2606256375382523,thief
25999,0.917673,0.1387342,0.07003999999999996,0.011111111111111112,0.13148283418553688,cop
26000,0.917673,0.1387342,0.014660000000000024,0.04950495049504951,0.2646216079555031,thief
26999,0.9145063333333333,0.13830086666666666,0.02940000000000004,0.015957446808510637,0.11901540047683484,cop
27000,0.9145063333333333,0.13830086666666666,0.018780000000000012,0.07075471698113207,0.2704186684969115,thief
27999,0.9113396666666667,0.13786753333333332,0.04512000000000002,0.016129032258064516,0.11220369887991664,cop
28000,0.9113396666666667,0.13786753333333332,-0.003720000000000015,0.04926108374384237,0.20653547571763856,thief
28999,0.908173,0.1374342,0.06318000000000006,0.00558659217877095,0.12386647391247207,cop
